pert_id	cmap_name	cell_iname	pert_time	pert_time_unit	pert_dose	pert_dose_unit	qc_pass	is_hiq	nsample	n_signatures
BRD-A01145011	zebularine	PC3	24	h	11.1	uM	1	1	5	1
BRD-A01145011	zebularine	PC3	6	h	11.1	uM	1	0	4	1
BRD-A01145011	zebularine	VCAP	24	h	11.1	uM	1	0	5	1
BRD-A01145011	zebularine	VCAP	6	h	11.1	uM	1	0	4	1
BRD-A11263757	azacitidine	PC3	24	h	10	uM	0	0	2	1
BRD-A11263757	azacitidine	PC3	6	h	10	uM	1	0	1	1
BRD-K00627859	tubastatin-a	PC3	24	h	0.04	uM	1	0	3	1
BRD-K00627859	tubastatin-a	PC3	24	h	0.078125	uM	1	0	2	1
BRD-K00627859	tubastatin-a	PC3	24	h	0.12	uM	1	0	3	1
BRD-K00627859	tubastatin-a	PC3	24	h	0.15625	uM	1	0	12	1
BRD-K00627859	tubastatin-a	PC3	24	h	0.15625	uM	1	0	2	1
BRD-K00627859	tubastatin-a	PC3	24	h	0.3125	uM	0	0	2	1
BRD-K00627859	tubastatin-a	PC3	24	h	0.37	uM	1	0	3	1
BRD-K00627859	tubastatin-a	PC3	24	h	0.625	uM	1	0	12	1
BRD-K00627859	tubastatin-a	PC3	24	h	0.625	uM	1	0	2	1
BRD-K00627859	tubastatin-a	PC3	24	h	1.11	uM	1	1	3	1
BRD-K00627859	tubastatin-a	PC3	24	h	1.25	uM	1	0	2	1
BRD-K00627859	tubastatin-a	PC3	24	h	10	uM	0	0	5	1
BRD-K00627859	tubastatin-a	PC3	24	h	10	uM	1	0	2	1
BRD-K00627859	tubastatin-a	PC3	24	h	10	uM	1	1	12	1
BRD-K00627859	tubastatin-a	PC3	24	h	10	uM	1	1	3	1
BRD-K00627859	tubastatin-a	PC3	24	h	2.5	uM	1	0	12	1
BRD-K00627859	tubastatin-a	PC3	24	h	2.5	uM	1	0	2	1
BRD-K00627859	tubastatin-a	PC3	24	h	3.33	uM	1	0	3	1
BRD-K00627859	tubastatin-a	PC3	24	h	5	uM	1	0	2	1
BRD-K00627859	tubastatin-a	PC3	6	h	0.078125	uM	1	0	6	1
BRD-K00627859	tubastatin-a	PC3	6	h	0.15625	uM	1	0	12	1
BRD-K00627859	tubastatin-a	PC3	6	h	0.15625	uM	1	0	6	1
BRD-K00627859	tubastatin-a	PC3	6	h	0.3125	uM	1	0	6	1
BRD-K00627859	tubastatin-a	PC3	6	h	0.625	uM	1	0	12	1
BRD-K00627859	tubastatin-a	PC3	6	h	0.625	uM	1	0	6	1
BRD-K00627859	tubastatin-a	PC3	6	h	1.25	uM	1	0	6	1
BRD-K00627859	tubastatin-a	PC3	6	h	10	uM	1	1	12	1
BRD-K00627859	tubastatin-a	PC3	6	h	10	uM	1	1	5	1
BRD-K00627859	tubastatin-a	PC3	6	h	10	uM	1	1	6	1
BRD-K00627859	tubastatin-a	PC3	6	h	2.5	uM	1	0	12	1
BRD-K00627859	tubastatin-a	PC3	6	h	2.5	uM	1	0	6	1
BRD-K00627859	tubastatin-a	PC3	6	h	5	uM	1	0	6	1
BRD-K00627859	tubastatin-a	VCAP	24	h	10	uM	0	0	5	1
BRD-K00627859	tubastatin-a	VCAP	6	h	10	uM	0	0	5	1
BRD-K02130563	panobinostat	22RV1	24	h	0.1	uM	1	0	1	1
BRD-K02130563	panobinostat	22RV1	24	h	1	uM	0	0	1	1
BRD-K02130563	panobinostat	22RV1	24	h	10	uM	1	0	1	1
BRD-K02130563	panobinostat	LNCAP	24	h	0.1	uM	1	0	1	1
BRD-K02130563	panobinostat	LNCAP	24	h	1	uM	1	0	1	1
BRD-K02130563	panobinostat	LNCAP	24	h	10	uM	1	0	1	1
BRD-K02130563	panobinostat	PC3	24	h	0.0012207	uM	0	0	2	1
BRD-K02130563	panobinostat	PC3	24	h	0.00244141	uM	1	1	2	1
BRD-K02130563	panobinostat	PC3	24	h	0.00488281	uM	1	0	2	1
BRD-K02130563	panobinostat	PC3	24	h	0.00976562	uM	0	0	2	1
BRD-K02130563	panobinostat	PC3	24	h	0.0195312	uM	1	0	2	1
BRD-K02130563	panobinostat	PC3	24	h	0.0390625	uM	0	0	2	1
BRD-K02130563	panobinostat	PC3	24	h	0.04	uM	1	1	2	1
BRD-K02130563	panobinostat	PC3	24	h	0.04	uM	1	1	3	1
BRD-K02130563	panobinostat	PC3	24	h	0.0411523	uM	1	1	3	1
BRD-K02130563	panobinostat	PC3	24	h	0.078125	uM	1	1	2	1
BRD-K02130563	panobinostat	PC3	24	h	0.1	uM	1	1	3	1
BRD-K02130563	panobinostat	PC3	24	h	0.12	uM	0	0	2	1
BRD-K02130563	panobinostat	PC3	24	h	0.12	uM	1	1	3	1
BRD-K02130563	panobinostat	PC3	24	h	0.123457	uM	1	1	3	1
BRD-K02130563	panobinostat	PC3	24	h	0.15625	uM	1	1	12	1
BRD-K02130563	panobinostat	PC3	24	h	0.15625	uM	1	1	3	1
BRD-K02130563	panobinostat	PC3	24	h	0.3125	uM	1	0	1	1
BRD-K02130563	panobinostat	PC3	24	h	0.37	uM	1	1	2	1
BRD-K02130563	panobinostat	PC3	24	h	0.37	uM	1	1	3	1
BRD-K02130563	panobinostat	PC3	24	h	0.37037	uM	1	1	3	1
BRD-K02130563	panobinostat	PC3	24	h	0.625	uM	0	0	12	1
BRD-K02130563	panobinostat	PC3	24	h	0.625	uM	1	0	1	1
BRD-K02130563	panobinostat	PC3	24	h	1	uM	1	1	3	1
BRD-K02130563	panobinostat	PC3	24	h	1.11	uM	1	1	2	1
BRD-K02130563	panobinostat	PC3	24	h	1.11	uM	1	1	3	1
BRD-K02130563	panobinostat	PC3	24	h	1.11111	uM	1	1	3	1
BRD-K02130563	panobinostat	PC3	24	h	10	uM	0	0	11	1
BRD-K02130563	panobinostat	PC3	24	h	10	uM	0	0	4	1
BRD-K02130563	panobinostat	PC3	24	h	10	uM	1	0	1	1
BRD-K02130563	panobinostat	PC3	24	h	10	uM	1	1	2	2
BRD-K02130563	panobinostat	PC3	24	h	10	uM	1	1	3	2
BRD-K02130563	panobinostat	PC3	24	h	2.5	uM	0	0	12	1
BRD-K02130563	panobinostat	PC3	24	h	3.33	uM	1	1	2	1
BRD-K02130563	panobinostat	PC3	24	h	3.33	uM	1	1	3	1
BRD-K02130563	panobinostat	PC3	24	h	3.33333	uM	1	1	3	1
BRD-K02130563	panobinostat	PC3	24	h	5	uM	1	0	1	1
BRD-K02130563	panobinostat	PC3	6	h	0.0012207	uM	1	0	6	1
BRD-K02130563	panobinostat	PC3	6	h	0.00244141	uM	1	0	6	1
BRD-K02130563	panobinostat	PC3	6	h	0.00488281	uM	1	0	5	1
BRD-K02130563	panobinostat	PC3	6	h	0.00976562	uM	1	0	6	1
BRD-K02130563	panobinostat	PC3	6	h	0.0195312	uM	1	0	6	1
BRD-K02130563	panobinostat	PC3	6	h	0.0390625	uM	1	0	6	1
BRD-K02130563	panobinostat	PC3	6	h	0.078125	uM	1	1	8	1
BRD-K02130563	panobinostat	PC3	6	h	0.15625	uM	1	1	12	1
BRD-K02130563	panobinostat	PC3	6	h	0.15625	uM	1	1	6	1
BRD-K02130563	panobinostat	PC3	6	h	0.3125	uM	0	0	2	1
BRD-K02130563	panobinostat	PC3	6	h	0.625	uM	1	0	3	1
BRD-K02130563	panobinostat	PC3	6	h	0.625	uM	1	1	12	1
BRD-K02130563	panobinostat	PC3	6	h	1.25	uM	0	0	2	1
BRD-K02130563	panobinostat	PC3	6	h	10	uM	1	0	3	1
BRD-K02130563	panobinostat	PC3	6	h	10	uM	1	1	12	1
BRD-K02130563	panobinostat	PC3	6	h	10	uM	1	1	4	1
BRD-K02130563	panobinostat	PC3	6	h	2.5	uM	0	0	1	1
BRD-K02130563	panobinostat	PC3	6	h	2.5	uM	1	1	12	1
BRD-K02130563	panobinostat	PC3	6	h	5	uM	1	0	3	1
BRD-K02130563	panobinostat	VCAP	24	h	0.04	uM	1	0	1	1
BRD-K02130563	panobinostat	VCAP	24	h	0.12	uM	1	1	2	1
BRD-K02130563	panobinostat	VCAP	24	h	0.37	uM	1	1	2	1
BRD-K02130563	panobinostat	VCAP	24	h	1.11	uM	1	1	2	1
BRD-K02130563	panobinostat	VCAP	24	h	10	uM	0	0	3	1
BRD-K02130563	panobinostat	VCAP	24	h	10	uM	1	1	2	1
BRD-K02130563	panobinostat	VCAP	24	h	10	uM	1	1	6	1
BRD-K02130563	panobinostat	VCAP	24	h	3.33	uM	1	1	2	1
BRD-K02130563	panobinostat	VCAP	6	h	10	uM	0	0	5	1
BRD-K03406345	azacitidine	22RV1	24	h	1.11111	uM	1	0	1	1
BRD-K03406345	azacitidine	22RV1	24	h	10	uM	1	0	1	1
BRD-K03406345	azacitidine	22RV1	24	h	3.33333	uM	1	0	1	1
BRD-K03406345	azacitidine	PC3	24	h	0.04	uM	0	0	2	1
BRD-K03406345	azacitidine	PC3	24	h	0.12	uM	1	0	2	1
BRD-K03406345	azacitidine	PC3	24	h	0.37	uM	1	1	2	1
BRD-K03406345	azacitidine	PC3	24	h	1.11	uM	0	0	2	1
BRD-K03406345	azacitidine	PC3	24	h	10	uM	0	0	2	1
BRD-K03406345	azacitidine	PC3	24	h	10	uM	0	0	5	1
BRD-K03406345	azacitidine	PC3	24	h	3.33	uM	1	1	2	1
BRD-K03406345	azacitidine	PC3	6	h	10	uM	1	1	4	1
BRD-K03406345	azacitidine	VCAP	24	h	0.37	uM	0	0	3	1
BRD-K03406345	azacitidine	VCAP	24	h	0.4	uM	1	0	3	1
BRD-K03406345	azacitidine	VCAP	24	h	1.11	uM	0	0	3	1
BRD-K03406345	azacitidine	VCAP	24	h	10	uM	0	0	3	1
BRD-K03406345	azacitidine	VCAP	24	h	10	uM	1	1	3	1
BRD-K03406345	azacitidine	VCAP	24	h	10	uM	1	1	5	1
BRD-K03406345	azacitidine	VCAP	24	h	2	uM	1	0	3	1
BRD-K03406345	azacitidine	VCAP	24	h	3.33	uM	0	0	3	1
BRD-K03406345	azacitidine	VCAP	6	h	0.4	uM	1	0	2	1
BRD-K03406345	azacitidine	VCAP	6	h	10	uM	0	0	2	1
BRD-K03406345	azacitidine	VCAP	6	h	10	uM	1	1	5	1
BRD-K03406345	azacitidine	VCAP	6	h	2	uM	1	0	2	1
BRD-K04466929	Merck60	PC3	24	h	0.04	uM	1	1	3	1
BRD-K04466929	Merck60	PC3	24	h	0.12	uM	1	1	3	1
BRD-K04466929	Merck60	PC3	24	h	0.15625	uM	1	1	12	1
BRD-K04466929	Merck60	PC3	24	h	0.37	uM	1	1	3	1
BRD-K04466929	Merck60	PC3	24	h	0.625	uM	1	1	12	1
BRD-K04466929	Merck60	PC3	24	h	1.11	uM	1	1	3	1
BRD-K04466929	Merck60	PC3	24	h	10	uM	0	0	1	1
BRD-K04466929	Merck60	PC3	24	h	10	uM	1	0	5	1
BRD-K04466929	Merck60	PC3	24	h	10	uM	1	1	12	1
BRD-K04466929	Merck60	PC3	24	h	2.5	uM	1	1	12	1
BRD-K04466929	Merck60	PC3	24	h	3.33	uM	1	1	3	1
BRD-K04466929	Merck60	PC3	6	h	0.15625	uM	1	0	12	1
BRD-K04466929	Merck60	PC3	6	h	0.625	uM	1	0	12	1
BRD-K04466929	Merck60	PC3	6	h	10	uM	1	0	5	1
BRD-K04466929	Merck60	PC3	6	h	10	uM	1	1	12	1
BRD-K04466929	Merck60	PC3	6	h	2.5	uM	1	0	12	1
BRD-K04466929	Merck60	VCAP	24	h	10	uM	1	0	5	1
BRD-K04466929	Merck60	VCAP	6	h	10	uM	1	0	5	1
BRD-K11215326	E-7438	PC3	24	h	1.11111	uM	1	0	3	1
BRD-K11215326	E-7438	PC3	24	h	10	uM	1	1	3	1
BRD-K11215326	E-7438	PC3	24	h	3.33333	uM	1	0	3	1
BRD-K11558771	droxinostat	PC3	24	h	10	uM	1	1	4	1
BRD-K11558771	droxinostat	PC3	6	h	10	uM	1	1	4	1
BRD-K11558771	droxinostat	VCAP	24	h	10	uM	1	0	3	1
BRD-K11558771	droxinostat	VCAP	24	h	10	uM	1	0	5	1
BRD-K11558771	droxinostat	VCAP	6	h	10	uM	1	1	5	1
BRD-K12867552	PCI-24781	PC3	24	h	0.00949668	uM	0	0	2	1
BRD-K12867552	PCI-24781	PC3	24	h	0.02849	uM	0	0	2	1
BRD-K12867552	PCI-24781	PC3	24	h	0.0411523	uM	0	0	3	1
BRD-K12867552	PCI-24781	PC3	24	h	0.0854701	uM	0	0	2	1
BRD-K12867552	PCI-24781	PC3	24	h	0.123457	uM	0	0	3	1
BRD-K12867552	PCI-24781	PC3	24	h	0.25641	uM	0	0	2	1
BRD-K12867552	PCI-24781	PC3	24	h	0.37037	uM	0	0	3	1
BRD-K12867552	PCI-24781	PC3	24	h	0.769231	uM	0	0	2	1
BRD-K12867552	PCI-24781	PC3	24	h	1.11111	uM	0	0	3	1
BRD-K12867552	PCI-24781	PC3	24	h	10	uM	0	0	2	1
BRD-K12867552	PCI-24781	PC3	24	h	10	uM	1	1	3	1
BRD-K12867552	PCI-24781	PC3	24	h	2.30769	uM	0	0	2	1
BRD-K12867552	PCI-24781	PC3	24	h	3.33333	uM	0	0	3	1
BRD-K12867552	PCI-24781	PC3	6	h	10	uM	1	1	5	1
BRD-K12867552	PCI-24781	VCAP	24	h	10	uM	1	1	2	1
BRD-K12867552	PCI-24781	VCAP	6	h	10	uM	0	0	4	1
BRD-K13169950	NSC-3852	PC3	24	h	10	uM	1	1	5	1
BRD-K13169950	NSC-3852	PC3	6	h	10	uM	1	1	4	1
BRD-K13169950	NSC-3852	VCAP	24	h	10	uM	0	0	2	1
BRD-K13169950	NSC-3852	VCAP	6	h	10	uM	0	0	5	1
BRD-K13810148	givinostat	PC3	24	h	10	uM	1	0	5	1
BRD-K13810148	givinostat	PC3	6	h	10	uM	0	0	4	1
BRD-K13810148	givinostat	VCAP	24	h	10	uM	0	0	5	1
BRD-K13810148	givinostat	VCAP	6	h	10	uM	0	0	5	1
BRD-K16485616	mocetinostat	PC3	24	h	0.04	uM	1	0	2	1
BRD-K16485616	mocetinostat	PC3	24	h	0.12	uM	1	1	2	1
BRD-K16485616	mocetinostat	PC3	24	h	0.37	uM	0	0	2	1
BRD-K16485616	mocetinostat	PC3	24	h	1.11	uM	0	0	2	1
BRD-K16485616	mocetinostat	PC3	24	h	10	uM	0	0	2	1
BRD-K16485616	mocetinostat	PC3	24	h	10	uM	0	0	5	1
BRD-K16485616	mocetinostat	PC3	24	h	3.33	uM	0	0	2	1
BRD-K16485616	mocetinostat	PC3	6	h	10	uM	1	1	4	1
